idx,sentence,label,fp32_pred,int8_pred,fp32_correct,int8_correct,flipped,fp32_logit_0,fp32_logit_1,int8_logit_0,int8_logit_1,fp32_margin,int8_margin,abs_logit0_diff,abs_logit1_diff
0,it 's a charming and often affecting journey . ,1,1,1,True,True,False,-2.4212424755096436,2.5975427627563477,-2.0086007118225098,2.1180763244628906,5.018785238265991,4.1266770362854,0.4126417636871338,0.47946643829345703
1,unflinchingly bleak and desperate ,0,0,0,True,True,False,1.5318195819854736,-1.3509786128997803,1.1628613471984863,-0.9801273345947266,2.882798194885254,2.142988681793213,0.3689582347869873,0.3708512783050537
2,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,1,True,True,False,-2.1233108043670654,2.098247766494751,-1.4876514673233032,1.5049530267715454,4.221558570861816,2.9926044940948486,0.6356593370437622,0.5932947397232056
3,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,1,True,True,False,-0.9712782502174377,0.9401115775108337,-0.36405855417251587,0.28830525279045105,1.9113898277282715,0.6523638069629669,0.6072196960449219,0.6518063247203827
4,"it 's slow -- very , very slow . ",0,0,0,True,True,False,1.9710056781768799,-1.881108283996582,1.488651990890503,-1.3020137548446655,3.852113962173462,2.7906657457351685,0.48235368728637695,0.5790945291519165
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,1,True,True,False,-2.353027582168579,2.4287612438201904,-1.9818345308303833,1.989354133605957,4.7817888259887695,3.9711886644363403,0.3711930513381958,0.4394071102142334
6,a sometimes tedious film . ,0,0,0,True,True,False,1.8159044981002808,-1.7621428966522217,1.0160623788833618,-0.8851274251937866,3.5780473947525024,1.9011898040771484,0.799842119216919,0.8770154714584351
7,or doing last year 's taxes with your ex-wife . ,0,0,0,True,True,False,1.3952751159667969,-1.2655470371246338,1.0126655101776123,-0.8763180375099182,2.6608221530914307,1.8889835476875305,0.38260960578918457,0.3892289996147156
8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,1,True,True,False,-1.900802731513977,1.9373925924301147,-1.0255074501037598,1.1088887453079224,3.838195323944092,2.134396195411682,0.8752952814102173,0.8285038471221924
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,0,True,True,False,1.4478604793548584,-1.23019540309906,0.8313823938369751,-0.5801547169685364,2.6780558824539185,1.4115371108055115,0.6164780855178833,0.6500406861305237
10,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,1,True,True,False,-2.205517530441284,2.275684118270874,-1.6755077838897705,1.651259422302246,4.481201648712158,3.3267672061920166,0.5300097465515137,0.6244246959686279
11,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,0,True,True,False,2.028397798538208,-1.96600341796875,1.3338782787322998,-1.211002230644226,3.994401216506958,2.544880509376526,0.6945195198059082,0.7550011873245239
12,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0,0,True,True,False,2.07887864112854,-2.018294095993042,1.8377652168273926,-1.716789960861206,4.097172737121582,3.5545551776885986,0.24111342430114746,0.30150413513183594
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,0,0,False,False,False,0.6432931423187256,-0.4363906979560852,0.23009724915027618,-0.0800287202000618,1.0796838402748108,0.310125969350338,0.4131958931684494,0.3563619777560234
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,0,True,True,False,2.0558345317840576,-2.012876272201538,1.5029540061950684,-1.447857141494751,4.068710803985596,2.9508111476898193,0.5528805255889893,0.5650191307067871
15,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,1,1,True,True,False,-2.4212424755096436,2.4964210987091064,-2.253345251083374,2.289313554763794,4.91766357421875,4.542658805847168,0.16789722442626953,0.2071075439453125
16,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,1,True,True,False,-1.0794320106506348,1.1465204954147339,-0.7902872562408447,0.8513243794441223,2.2259525060653687,1.641611635684967,0.28914475440979004,0.2951961159706116
17,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,1,True,True,False,-1.887955904006958,1.9397976398468018,-1.2131667137145996,1.2296092510223389,3.8277535438537598,2.4427759647369385,0.6747891902923584,0.7101883888244629
18,... the movie is just a plain old monster . ,0,0,0,True,True,False,2.0624725818634033,-2.0522215366363525,1.5630030632019043,-1.4259182214736938,4.114694118499756,2.988921284675598,0.499469518661499,0.6263033151626587
19,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0,0,True,True,False,1.8817741870880127,-1.8194105625152588,1.2684193849563599,-1.1614404916763306,3.7011847496032715,2.4298598766326904,0.6133548021316528,0.6579700708389282
20,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,0,0,True,True,False,1.3631374835968018,-1.1777853965759277,0.609101414680481,-0.43895503878593445,2.5409228801727295,1.0480564534664154,0.7540360689163208,0.7388303577899933
21,the iditarod lasts for days - this just felt like it did . ,0,0,0,True,True,False,1.3694514036178589,-1.2028597593307495,0.9768407344818115,-0.7971575260162354,2.5723111629486084,1.7739982604980469,0.39261066913604736,0.40570223331451416
22,holden caulfield did it better . ,0,1,1,False,False,False,-0.21358443796634674,0.36612534523010254,-0.036955319344997406,0.1837533712387085,0.5797097831964493,0.2207086905837059,0.17662911862134933,0.18237197399139404
23,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,1,1,True,True,False,-2.3515141010284424,2.4456381797790527,-1.9100959300994873,1.9398702383041382,4.797152280807495,3.8499661684036255,0.4414181709289551,0.5057679414749146
24,seldom has a movie so closely matched the spirit of a man and his work . ,1,0,0,False,False,False,0.3726235330104828,-0.29360857605934143,0.46633380651474,-0.3518771231174469,0.6662321090698242,0.8182109296321869,0.0937102735042572,0.05826854705810547
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0,0,True,True,False,1.3832770586013794,-1.1229407787322998,1.520843744277954,-1.3258202075958252,2.506217837333679,2.8466639518737793,0.1375666856765747,0.2028794288635254
26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0,0,True,True,False,1.8528882265090942,-1.7319064140319824,1.3444265127182007,-1.1266419887542725,3.5847946405410767,2.471068501472473,0.5084617137908936,0.60526442527771
27,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,1,1,True,True,False,-1.8485743999481201,1.8787875175476074,-1.3012642860412598,1.3524314165115356,3.7273619174957275,2.6536957025527954,0.5473101139068604,0.5263561010360718
28,"it 's a cookie-cutter movie , a cut-and-paste job . ",0,0,0,True,True,False,1.4125133752822876,-1.327384352684021,1.0566493272781372,-0.904341459274292,2.7398977279663086,1.9609907865524292,0.3558640480041504,0.423042893409729
